Time,Open,High,Low,Close,Volume
2020-06-18 21:00:00,1.15800000,1.15600000,1.16200000,1.15000000,43675.90000000
2020-06-18 20:00:00,1.16100000,1.15700000,1.16500000,1.15700000,31513.60000000
2020-06-18 19:00:00,1.16600000,1.16000000,1.16700000,1.16000000,17836.71900000
2020-06-18 18:00:00,1.16300000,1.16200000,1.16900000,1.16200000,4168.34000000
2020-06-18 17:00:00,1.16400000,1.16700000,1.17300000,1.16300000,15572.70600000
2020-06-18 16:00:00,1.17000000,1.16400000,1.17300000,1.16400000,13895.35800000
2020-06-18 15:00:00,1.16800000,1.16700000,1.17200000,1.16300000,17871.90900000
2020-06-18 14:00:00,1.17400000,1.16900000,1.17500000,1.16900000,10390.09700000
2020-06-18 13:00:00,1.17400000,1.17600000,1.17600000,1.17000000,3445.43400000
2020-06-18 12:00:00,1.18500000,1.17400000,1.18500000,1.16700000,22443.72700000
2020-06-18 11:00:00,1.17500000,1.18100000,1.18700000,1.17000000,47022.25400000
2020-06-18 10:00:00,1.17000000,1.17400000,1.17700000,1.16400000,23631.39100000
2020-06-18 09:00:00,1.17800000,1.17000000,1.18300000,1.16600000,63523.80500000
2020-06-18 08:00:00,1.19300000,1.18300000,1.19400000,1.17300000,42375.91300000
2020-06-18 07:00:00,1.19100000,1.19500000,1.19800000,1.18700000,28767.71600000
2020-06-18 06:00:00,1.19600000,1.19400000,1.19600000,1.18600000,13159.04800000
2020-06-18 05:00:00,1.17800000,1.19200000,1.19700000,1.17800000,4810.79400000
2020-06-18 04:00:00,1.17600000,1.18200000,1.18200000,1.16200000,39131.03300000
2020-06-18 03:00:00,1.18700000,1.17700000,1.18700000,1.17600000,24426.08600000
2020-06-18 02:00:00,1.19000000,1.18700000,1.19200000,1.18600000,6870.84900000
2020-06-18 01:00:00,1.17700000,1.18800000,1.18800000,1.17500000,21348.79100000
2020-06-18 00:00:00,1.18300000,1.17700000,1.18900000,1.17600000,26790.86200000
2020-06-17 23:00:00,1.17900000,1.18300000,1.18900000,1.17900000,39122.02800000
2020-06-17 22:00:00,1.18900000,1.17900000,1.19400000,1.17800000,27400.26300000
2020-06-17 21:00:00,1.20500000,1.18900000,1.21000000,1.17200000,77949.22800000
2020-06-17 20:00:00,1.20100000,1.20800000,1.21500000,1.19800000,19725.55600000
2020-06-17 19:00:00,1.20800000,1.21100000,1.21500000,1.19900000,14980.59000000
2020-06-17 18:00:00,1.21200000,1.20800000,1.21200000,1.20400000,66736.65800000
2020-06-17 17:00:00,1.21600000,1.21100000,1.21700000,1.20600000,22162.32200000
2020-06-17 16:00:00,1.21900000,1.22000000,1.22300000,1.21000000,26663.15500000
2020-06-17 15:00:00,1.19700000,1.21700000,1.21900000,1.19100000,30885.92700000
2020-06-17 14:00:00,1.18500000,1.19900000,1.21100000,1.18500000,49991.26700000
2020-06-17 13:00:00,1.19300000,1.18300000,1.20000000,1.17600000,72932.32800000
2020-06-17 12:00:00,1.19800000,1.19300000,1.20500000,1.18900000,40214.75600000
2020-06-17 11:00:00,1.21000000,1.19800000,1.21600000,1.19200000,42707.14300000
2020-06-17 10:00:00,1.22700000,1.21400000,1.22800000,1.20200000,38977.92400000
2020-06-17 09:00:00,1.24300000,1.22700000,1.24600000,1.22100000,16691.05100000
2020-06-17 08:00:00,1.25500000,1.24300000,1.25600000,1.23200000,70755.56700000
2020-06-17 07:00:00,1.22300000,1.25600000,1.25800000,1.22300000,33660.62200000
2020-06-17 06:00:00,1.22600000,1.22600000,1.22800000,1.20700000,79247.16600000
2020-06-17 05:00:00,1.23500000,1.23000000,1.23800000,1.22400000,16930.77300000
2020-06-17 04:00:00,1.24300000,1.23100000,1.24300000,1.22900000,35597.97200000
2020-06-17 03:00:00,1.23100000,1.24000000,1.24400000,1.22800000,15297.52800000
2020-06-17 02:00:00,1.22800000,1.23300000,1.23400000,1.22200000,30332.25500000
2020-06-17 01:00:00,1.22300000,1.23000000,1.24100000,1.21900000,35690.09800000
2020-06-17 00:00:00,1.23600000,1.22400000,1.23700000,1.22000000,28821.56600000
2020-06-16 23:00:00,1.21200000,1.23300000,1.23500000,1.20200000,70733.08500000
2020-06-16 22:00:00,1.26600000,1.21200000,1.26700000,1.20700000,174240.59800000
2020-06-16 21:00:00,1.21000000,1.26400000,1.26600000,1.20400000,146764.60200000
2020-06-16 20:00:00,1.19800000,1.20400000,1.21100000,1.19000000,42559.18300000
2020-06-16 19:00:00,1.19200000,1.19800000,1.21100000,1.19200000,29110.18300000
2020-06-16 18:00:00,1.20000000,1.19200000,1.20000000,1.18900000,29699.54300000
2020-06-16 17:00:00,1.19000000,1.19900000,1.20000000,1.18000000,52567.40100000
2020-06-16 16:00:00,1.19100000,1.19000000,1.19600000,1.18300000,40374.26700000
2020-06-16 15:00:00,1.20200000,1.19200000,1.20500000,1.18300000,53804.19900000
2020-06-16 14:00:00,1.20600000,1.20300000,1.22900000,1.19700000,147919.94500000
2020-06-16 13:00:00,1.19600000,1.20600000,1.20700000,1.18300000,85450.82300000
2020-06-16 12:00:00,1.20500000,1.19700000,1.23000000,1.19200000,164271.01600000
2020-06-16 11:00:00,1.17500000,1.20100000,1.20200000,1.17200000,81653.94800000
2020-06-16 10:00:00,1.17000000,1.17300000,1.17700000,1.17000000,28729.08000000
2020-06-16 09:00:00,1.14900000,1.17000000,1.17400000,1.14600000,28220.27100000
2020-06-16 08:00:00,1.16500000,1.14900000,1.16500000,1.14100000,82890.54700000
2020-06-16 07:00:00,1.15800000,1.16500000,1.16700000,1.15100000,18078.68400000
2020-06-16 06:00:00,1.16900000,1.16000000,1.17500000,1.15100000,28485.71900000
2020-06-16 05:00:00,1.17300000,1.16900000,1.17300000,1.15100000,57661.67000000
2020-06-16 04:00:00,1.18200000,1.17200000,1.18500000,1.16400000,19781.40100000
2020-06-16 03:00:00,1.15900000,1.18100000,1.18800000,1.15800000,39369.91000000
2020-06-16 02:00:00,1.17800000,1.15700000,1.18900000,1.15500000,68109.38000000
2020-06-16 01:00:00,1.17700000,1.17800000,1.18900000,1.17700000,54721.80000000
2020-06-16 00:00:00,1.18600000,1.17700000,1.20600000,1.16600000,116401.89400000
2020-06-15 23:00:00,1.15400000,1.18700000,1.21200000,1.15400000,141596.70500000
2020-06-15 22:00:00,1.13500000,1.15300000,1.16400000,1.13400000,80852.35900000
2020-06-15 21:00:00,1.12900000,1.13400000,1.13400000,1.10000000,85859.30900000
2020-06-15 20:00:00,1.11700000,1.12900000,1.15100000,1.11700000,67033.18300000
2020-06-15 19:00:00,1.08800000,1.12000000,1.12100000,1.08800000,47632.35800000
2020-06-15 18:00:00,1.12000000,1.08600000,1.12800000,1.08600000,105678.03000000
2020-06-15 17:00:00,1.13100000,1.11800000,1.13500000,1.11800000,22024.12700000
2020-06-15 16:00:00,1.14100000,1.13900000,1.15000000,1.13100000,65506.15800000
2020-06-15 15:00:00,1.11000000,1.14300000,1.15000000,1.10200000,128780.08500000
2020-06-15 14:00:00,1.09800000,1.10900000,1.12400000,1.05100000,150788.85500000
2020-06-15 13:00:00,1.15200000,1.09200000,1.15200000,1.09000000,102798.78100000
2020-06-15 12:00:00,1.12900000,1.14800000,1.15800000,1.12900000,97947.50100000
2020-06-15 11:00:00,1.14800000,1.13300000,1.15600000,1.10000000,87879.31800000
2020-06-15 10:00:00,1.16400000,1.14800000,1.17100000,1.13200000,84632.83800000
2020-06-15 09:00:00,1.20200000,1.16400000,1.20700000,1.16300000,93533.15900000
2020-06-15 08:00:00,1.17100000,1.20200000,1.21800000,1.17000000,75637.28200000
2020-06-15 07:00:00,1.19400000,1.17100000,1.20100000,1.16700000,71481.86000000
2020-06-15 06:00:00,1.20700000,1.19400000,1.21600000,1.17900000,151892.78200000
2020-06-15 05:00:00,1.22200000,1.21000000,1.22300000,1.19300000,70749.04800000
2020-06-15 04:00:00,1.22600000,1.22200000,1.23800000,1.21500000,40823.32800000
2020-06-15 03:00:00,1.21200000,1.22600000,1.22600000,1.20600000,33893.40900000
2020-06-15 02:00:00,1.21900000,1.21100000,1.23800000,1.20800000,36426.38100000
2020-06-15 01:00:00,1.22300000,1.21900000,1.22300000,1.19700000,78527.94200000
2020-06-15 00:00:00,1.19300000,1.22300000,1.22700000,1.19200000,72608.42400000
2020-06-14 23:00:00,1.18900000,1.19300000,1.19700000,1.18000000,22482.07700000
2020-06-14 22:00:00,1.23000000,1.18800000,1.24000000,1.17500000,174759.61300000
2020-06-14 21:00:00,1.16300000,1.23000000,1.24900000,1.16300000,215155.83900000
2020-06-14 20:00:00,1.16000000,1.16400000,1.16400000,1.15600000,25929.73100000
2020-06-14 19:00:00,1.15400000,1.16000000,1.16300000,1.15400000,14871.67700000
2020-06-14 18:00:00,1.13100000,1.15400000,1.15600000,1.12900000,40752.19900000
2020-06-14 17:00:00,1.16100000,1.13000000,1.16300000,1.13000000,46660.42400000
2020-06-14 16:00:00,1.17300000,1.16100000,1.17300000,1.15400000,23560.27700000
2020-06-14 15:00:00,1.15000000,1.17200000,1.17600000,1.12100000,117286.35500000
2020-06-14 14:00:00,1.16100000,1.14800000,1.16100000,1.14400000,21615.45200000
2020-06-14 13:00:00,1.16200000,1.16100000,1.17000000,1.15200000,43020.97200000
2020-06-14 12:00:00,1.16500000,1.16200000,1.17300000,1.15000000,62737.86600000
2020-06-14 11:00:00,1.18300000,1.16300000,1.18700000,1.16200000,99445.73500000
2020-06-14 10:00:00,1.19800000,1.18200000,1.19900000,1.17800000,22156.16400000
2020-06-14 09:00:00,1.20200000,1.19700000,1.20700000,1.19700000,13590.69500000
2020-06-14 08:00:00,1.20400000,1.20200000,1.20500000,1.19000000,38868.06400000
2020-06-14 07:00:00,1.19800000,1.20300000,1.20300000,1.18900000,22690.59100000
2020-06-14 06:00:00,1.20500000,1.19700000,1.20900000,1.18400000,29299.62900000
2020-06-14 05:00:00,1.21200000,1.20400000,1.22100000,1.20000000,34205.97400000
2020-06-14 04:00:00,1.18300000,1.21300000,1.21500000,1.18000000,57550.74100000
2020-06-14 03:00:00,1.18500000,1.18300000,1.19300000,1.17900000,30167.27100000
2020-06-14 02:00:00,1.18100000,1.18500000,1.19100000,1.18100000,24386.89000000
2020-06-14 01:00:00,1.18500000,1.18100000,1.19900000,1.17800000,39247.10900000
2020-06-14 00:00:00,1.21500000,1.18600000,1.21700000,1.17900000,115070.98900000
2020-06-13 23:00:00,1.22300000,1.21400000,1.22400000,1.20900000,40588.22200000
2020-06-13 22:00:00,1.20800000,1.22200000,1.23200000,1.20200000,33543.19600000
2020-06-13 21:00:00,1.20400000,1.20800000,1.21800000,1.17100000,109441.88500000
2020-06-13 20:00:00,1.23500000,1.20400000,1.23600000,1.19400000,106971.03000000
